Song,Year,Month,Day,Lyrics
Julia,1968,November,22,Yes
Long Long Long,1968,November,22,Yes
Martha My Dear,1968,November,22,Yes
Mother Nature's Son,1968,November,22,Yes
"Ob-La-Di, Ob-La-Da",1968,November,22,Yes
Piggies,1968,November,22,Yes
Revolution 1,1968,November,22,Yes
Revolution 9,1968,November,22,Yes
Rocky Raccoon,1968,November,22,Yes
Savoy truffle,1968,November,22,Yes
Sexy Sadie,1968,November,22,Yes
The Continuing Story of Bungalow Bill,1968,November,22,Yes
While My Guitar Gently Weeps,1968,November,22,Yes
Why Don't We Do It In The Road,1968,November,22,Yes
Wild Honey Pie,1968,November,22,Yes
Yer Blues,1968,November,22,Yes
All Together Now,1969,January,13,Yes
Hey Bulldog,1969,January,13,Yes
It's All Too Much,1969,January,13,Yes
Only A Northern Song,1969,January,13,Yes
March Of The Meanies,1969,January,17,Yes
Pepperland,1969,January,17,Yes
Pepperland Laid Waste,1969,January,17,Yes
Sea Of Holes,1969,January,17,Yes
Sea Of Monsters,1969,January,17,Yes
Sea Of Time,1969,January,17,Yes
Yellow Submarine In Pepperland,1969,January,17,Yes
Don't Let Me Down,1969,April,11,Yes
Get Back,1969,April,11,Yes
Old Brown Shoe,1969,May,30,Yes
The Ballad Of John And Yoko,1969,May,30,Yes
Because,1969,September,26,Yes
Carry That Weight,1969,September,26,Yes
Golden Slumbers,1969,September,26,Yes
Her Majesty,1969,September,26,Yes
Here Comes The Sun,1969,September,26,Yes
I Want You,1969,September,26,Yes
Maxwell's Silver Hammer,1969,September,26,Yes
Mean Mr. Mustard,1969,September,26,Yes
Oh! Darling,1969,September,26,Yes
Polythene Pam,1969,September,26,Yes
She Came In Through The Bathroom Window,1969,September,26,Yes
Sun King,1969,September,26,Yes
The End,1969,September,26,Yes
You Never Give Me Your Money,1969,September,26,Yes
Come Together,1969,October,6,Yes
Something,1969,October,6,Yes
Across The Universe,1969,December,12,Yes
Octopus's Garden,1969,December,26,Yes
Let It Be,1970,March,6,Yes
The Long And Winding Road,1970,May,11,Yes
Dig A Pony,1970,May,8,Yes
Dig It,1970,May,8,Yes
For You Blue,1970,May,8,Yes
I Me Mine,1970,May,8,Yes
I've Got A Feeling,1970,May,8,Yes
Maggie Mae,1970,May,8,Yes
One After 909,1970,May,8,Yes
Two Of Us,1970,May,8,Yes
Long Tall Sally,1988,March,7,Yes
Matchbox,1988,March,7,Yes
Real Love,1988,October,10,Yes
1822!,1994,November,30,Yes
A Little Rhyme,1994,November,30,Yes
A Shot Of Rhythm And Blues,1994,November,30,Yes
Beatle Greetings,1994,November,30,Yes
Carol,1994,November,30,No
Clarabella,1994,November,30,No
Crinsk Dee Night,1994,November,30,Yes
"Crying, Waiting, Hoping",1994,November,30,Yes
Dear Wack!,1994,November,30,Yes
Don't Ever Change,1994,November,30,Yes
From Fluff To You,1994,November,30,Yes
From Us To You,1994,November,30,Yes
Glad All Over,1994,November,30,Yes
Have A Banana!,1994,November,30,Yes
I Forgot To Remember To Forget,1994,November,30,Yes
I Got A Woman,1994,November,30,Yes
I Got To Find My Baby,1994,November,30,Yes
I Just Don't Understand,1994,November,30,Yes
I'll Be On My Way,1994,November,30,Yes
I'm Gonna Sit Right Down And Cry,1994,November,30,Yes
Johnny B. Goode,1994,November,30,Yes
Just A Rumour,1994,November,30,Yes
Keep Your Hands Off My Baby,1994,November,30,Yes
Lonesome Tears In My Eyes,1994,November,30,Yes
Love These Goon Shows!,1994,November,30,Yes
Lucille,1994,November,30,No
"Memphis, Tennessee",1994,November,30,Yes
Nothin' Shakin',1994,November,30,Yes
Ooh! My Arms,1994,November,30,Yes
Ooh! My Soul,1994,November,30,Yes
Riding On A Bus,1994,November,30,Yes
Set Fire To That Lot!,1994,November,30,Yes
Sha La La La La!,1994,November,30,Yes
So How Come (No One Loves Me),1994,November,30,Yes
Soldier Of Love,1994,November,30,Yes
Some Other Guy,1994,November,30,Yes
Sure To Fall (In Love With You),1994,November,30,Yes
Sweet Little Sixteen,1994,November,30,Yes
That's All Right (Mama),1994,November,30,Yes
The Hippy Hippy Shake,1994,November,30,Yes
The Honeymoon Song,1994,November,30,Yes
To Know Her Is To Love Her,1994,November,30,Yes
Too Much Monkey Business,1994,November,30,Yes
Young Blood,1994,November,30,Yes
Baby It's You,1995,March,20,Yes
Ain't She Sweet,1995,November,20,Yes
Besame Mucho,1995,November,20,Yes
Cayenne,1995,November,20,No
"Hallelujah, I Love Her So",1995,November,20,Yes
How Do You Do It,1995,November,20,Yes
In Spite Of All The Danger,1995,November,20,Yes
Leave My Kitten Alone,1995,November,20,Yes
Lend Me Your Comb,1995,November,20,Yes
Like Dreamers Do,1995,November,20,Yes
Moonlight Bay,1995,November,20,Yes
My Bonnie,1995,November,20,Yes
Searchin',1995,November,20,Yes
Shout,1995,November,20,No
Speech: Brian Epstein,1995,November,20,Yes
That'll Be The Day,1995,November,20,Yes
The Sheik Of Araby,1995,November,20,Yes
Three Cool Cats,1995,November,20,Yes
You'll Be Mine,1995,November,20,Yes
Free As A Bird,1995,December,4,Yes
12-Bar Original,1996,March,18,Yes
If You've Got Trouble,1996,March,18,Yes
That Means A Lot,1996,March,18,Yes
A Beginning,1996,October,28,Yes
All Things Must Pass,1996,October,28,Yes
Come And Get It,1996,October,28,Yes
Junk,1996,October,28,Yes
"Mailman, Bring Me No More Blues",1996,October,28,Yes
Not Guilty,1996,October,28,Yes
"Rip It Up / Shake, Rattle And Roll / Blue Suede Shoes",1996,October,28,Yes
Step Inside Love / Los Paranoias,1996,October,28,Yes
Teddy Boy,1996,October,28,Yes
What's The New Mary Jane,1996,October,28,Yes
"Komm, Gib Mir Deine Hand",1998,March,7,Yes
Gnik Nus,2006,November,20,Yes
You Know My Name,2012,December,14,Yes
You Like Me Too Much,2012,December,14,Yes
Sie Liebt Dich,2013,February,7,Yes
Slow Down,2013,February,7,Yes
You Know What To Do,2013,May,16,Yes
